,ward,district,area,latitude,longitude
9214,Phường Tân Định,Quận 1,"Phường Tân Định, Quận 1",10.7930968,106.6902951
9215,Phường Đa Kao,Quận 1,"Phường Đa Kao, Quận 1",10.7878843,106.6984026
9216,Phường Bến Nghé,Quận 1,"Phường Bến Nghé, Quận 1",10.7808334,106.702825
9217,Phường Bến Thành,Quận 1,"Phường Bến Thành, Quận 1",10.7735994,106.6944173
9218,Phường Nguyễn Thái Bình,Quận 1,"Phường Nguyễn Thái Bình, Quận 1",10.7693846,106.7006138
9219,Phường Phạm Ngũ Lão,Quận 1,"Phường Phạm Ngũ Lão, Quận 1",10.7658855,106.6908105
9220,Phường Cầu Ông Lãnh,Quận 1,"Phường Cầu Ông Lãnh, Quận 1",10.7655446,106.6961914
9221,Phường Cô Giang,Quận 1,"Phường Cô Giang, Quận 1",10.7616235,106.6932433
9222,Phường Nguyễn Cư Trinh,Quận 1,"Phường Nguyễn Cư Trinh, Quận 1",10.7640301,106.68661
9223,Phường Cầu Kho,Quận 1,"Phường Cầu Kho, Quận 1",10.7577834,106.6888211
9224,Phường Thạnh Xuân,Quận 12,"Phường Thạnh Xuân, Quận 12",10.8834303,106.6703963
9225,Phường Thạnh Lộc,Quận 12,"Phường Thạnh Lộc, Quận 12",10.8712302,106.6859815
9226,Phường Hiệp Thành,Quận 12,"Phường Hiệp Thành, Quận 12",10.8825023,106.6379724
9227,Phường Thới An,Quận 12,"Phường Thới An, Quận 12",10.8760697,106.6556575
9228,Phường Tân Chánh Hiệp,Quận 12,"Phường Tân Chánh Hiệp, Quận 12",10.866797,106.6261831
9229,Phường An Phú Đông,Quận 12,"Phường An Phú Đông, Quận 12",10.8596614,106.7057733
9230,Phường Tân Thới Hiệp,Quận 12,"Phường Tân Thới Hiệp, Quận 12",10.8603672,106.6438673
9231,Phường Trung Mỹ Tây,Quận 12,"Phường Trung Mỹ Tây, Quận 12",10.856544,106.6143944
9232,Phường Tân Hưng Thuận,Quận 12,"Phường Tân Hưng Thuận, Quận 12",10.8384209,106.6217623
9233,Phường Đông Hưng Thuận,Quận 12,"Phường Đông Hưng Thuận, Quận 12",10.8433839,106.630604
9234,Phường Tân Thới Nhất,Quận 12,"Phường Tân Thới Nhất, Quận 12",10.8292885,106.6143944
9235,Phường Linh Xuân,Quận Thủ Đức,"Phường Linh Xuân, Quận Thủ Đức",10.8804079,106.773595
9236,Phường Bình Chiểu,Quận Thủ Đức,"Phường Bình Chiểu, Quận Thủ Đức",10.8830404,106.7264125
9237,Phường Linh Trung,Quận Thủ Đức,"Phường Linh Trung, Quận Thủ Đức",10.8637312,106.7794935
9238,Phường Tam Bình,Quận Thủ Đức,"Phường Tam Bình, Quận Thủ Đức",10.8676413,106.7337841
9239,Phường Tam Phú,Quận Thủ Đức,"Phường Tam Phú, Quận Thủ Đức",10.8551341,106.7382072
9240,Phường Hiệp Bình Phước,Quận Thủ Đức,"Phường Hiệp Bình Phước, Quận Thủ Đức",10.8455467,106.7146184
9241,Phường Hiệp Bình Chánh,Quận Thủ Đức,"Phường Hiệp Bình Chánh, Quận Thủ Đức",10.8339953,106.7264125
9242,Phường Linh Chiểu,Quận Thủ Đức,"Phường Linh Chiểu, Quận Thủ Đức",10.8538209,106.7617984
9243,Phường Linh Tây,Quận Thủ Đức,"Phường Linh Tây, Quận Thủ Đức",10.8560516,106.7535475
9244,Phường Linh Đông,Quận Thủ Đức,"Phường Linh Đông, Quận Thủ Đức",10.843909,106.7441048
9245,Phường Bình Thọ,Quận Thủ Đức,"Phường Bình Thọ, Quận Thủ Đức",10.8467644,106.7662221
9246,Phường Trường Thọ,Quận Thủ Đức,"Phường Trường Thọ, Quận Thủ Đức",10.832358,106.7559004
9247,Phường Long Bình,Quận 9,"Phường Long Bình, Quận 9",10.8909381,106.8283134
9248,Phường Long Thạnh Mỹ,Quận 9,"Phường Long Thạnh Mỹ, Quận 9",10.8421949,106.8237374
9249,Phường Tân Phú,Quận 9,"Phường Tân Phú, Quận 9",10.8569656,106.8030892
9250,Phường Hiệp Phú,Quận 9,"Phường Hiệp Phú, Quận 9",10.8486667,106.7809682
9251,Phường Tăng Nhơn Phú A,Quận 9,"Phường Tăng Nhơn Phú A, Quận 9",10.8409534,106.79719
9252,Phường Tăng Nhơn Phú B,Quận 9,"Phường Tăng Nhơn Phú B, Quận 9",10.8307175,106.7853922
9253,Phường Phước Long B,Quận 9,"Phường Phước Long B, Quận 9",10.8147076,106.7794935
9254,Phường Phước Long A,Quận 9,"Phường Phước Long A, Quận 9",10.8224164,106.763273
9255,Phường Trường Thạnh,Quận 9,"Phường Trường Thạnh, Quận 9",10.8117526,106.8325872
9256,Phường Long Phước,Quận 9,"Phường Long Phước, Quận 9",10.8075496,106.8591387
9257,Phường Long Trường,Quận 9,"Phường Long Trường, Quận 9",10.7986358,106.8237374
9258,Phường Phước Bình,Quận 9,"Phường Phước Bình, Quận 9",10.8137558,106.7721204
9259,Phường Phú Hữu,Quận 9,"Phường Phú Hữu, Quận 9",10.7890603,106.8001396
9260,Phường 15,Quận Gò Vấp,"Phường 15, Quận Gò Vấp",10.8514643,106.6678466
